position_id,owner,symbol,side,volume,open_magic,all_magic,open_time,close_time,open_price,close_price,pnl,result,is_closed,comments
334942408,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 04:20:13,2026-06-07 04:46:50,60872.1,60748.8,-1.23,LOSS,True,HERMES_DEMO_KELL | [sl 60752.49]
334947882,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 05:09:23,2026-06-07 05:12:01,61316.7,61331.0,0.14,WIN,True,HERMES_DEMO_KELL | [tp 61328.80]
334950361,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 05:18:43,2026-06-07 05:29:26,61613.7,61651.2,0.38,WIN,True,HERMES_DEMO_KELL | [tp 61642.00]
334956276,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 06:07:16,2026-06-07 06:17:06,61514.3,61305.2,-2.09,LOSS,True,HERMES_DEMO_KELL | [sl 61306.43]
334958732,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 06:22:23,2026-06-07 06:24:12,61240.4,61378.8,-1.38,LOSS,True,HERMES_DEMO_KELL | [sl 61378.48]
334960393,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 06:37:19,2026-06-07 06:45:13,61217.9,61361.6,-1.44,LOSS,True,HERMES_DEMO_KELL | [sl 61349.60]
334961920,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 06:49:51,2026-06-07 07:19:11,61508.8,61645.45,1.37,WIN,True,HERMES_DEMO_KELL | [tp 61645.30]
334966215,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 07:21:35,2026-06-07 07:41:44,61701.2,61573.6,-1.28,LOSS,True,HERMES_DEMO_KELL | [sl 61546.91]
334969877,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 08:04:44,2026-06-07 08:30:35,61593.5,61587.5,0.06,WIN,True,HERMES_DEMO_KELL | [sl 61583.50]
334971420,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 08:32:33,2026-06-07 08:40:53,61563.4,61709.2,1.46,WIN,True,HERMES_DEMO_KELL | [tp 61706.67]
334969543,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 07:59:22,2026-06-07 08:42:34,61727.6,61817.1,0.9,WIN,True,HERMES_DEMO_KELL | [tp 61816.70]
334975696,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 08:58:55,2026-06-07 09:03:34,61898.3,61791.8,-1.07,LOSS,True,HERMES_DEMO_KELL | [sl 61795.19]
334975015,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 08:54:18,2026-06-07 09:18:11,61849.3,62024.2,1.75,WIN,True,HERMES_DEMO_KELL | [tp 62009.00]
334979107,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 09:20:17,2026-06-07 09:20:41,61995.2,61883.3,-1.12,LOSS,True,HERMES_DEMO_KELL | [sl 61883.81]
334980159,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 09:26:09,2026-06-07 09:26:59,61874.6,61827.3,-0.47,LOSS,True,HERMES_DEMO_KELL | [sl 61830.55]
334985332,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 10:00:15,2026-06-07 10:00:51,61773.5,61699.6,-0.74,LOSS,True,HERMES_DEMO_KELL | [sl 61700.74]
334990527,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 10:34:21,2026-06-07 11:43:11,62116.6,62175.8,0.59,WIN,True,HERMES_DEMO_KELL | [sl 62176.30]
334992000,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 10:39:37,2026-06-07 11:56:29,62162.1,62331.0,1.69,WIN,True,HERMES_DEMO_KELL | [tp 62330.60]
335011345,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 11:57:15,2026-06-07 12:05:37,62365.5,62242.5,-1.23,LOSS,True,HERMES_DEMO_KELL | [sl 62243.19]
335013924,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 12:10:03,2026-06-07 12:28:20,62380.1,62554.2,1.74,WIN,True,HERMES_DEMO_KELL | [tp 62550.50]
335016762,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 12:29:02,2026-06-07 12:40:51,62540.4,62396.7,-1.44,LOSS,True,HERMES_DEMO_KELL | [sl 62404.35]
335017614,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 12:35:58,2026-06-07 12:40:51,62535.8,62393.7,-1.42,LOSS,True,HERMES_DEMO_KELL | [sl 62393.83]
335019458,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 12:43:00,2026-06-07 12:46:56,62457.8,62756.8,2.99,WIN,True,HERMES_DEMO_KELL | [tp 62752.80]
335023597,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 12:50:07,2026-06-07 13:23:09,62786.0,62667.6,-1.18,LOSS,True,HERMES_DEMO_KELL | [sl 62675.34]
335025730,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 12:57:00,2026-06-07 13:23:09,62830.25,62667.6,-1.63,LOSS,True,HERMES_DEMO_KELL | [sl 62678.36]
335032155,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 13:36:33,2026-06-07 13:50:47,62537.5,62537.6,0.0,BE,True,HERMES_DEMO_KELL | [sl 62527.50]
