atr_percentile,be_armed,close_mode,direction,dxy_trend,ees_buy_band,ees_buy_score,ees_sell_band,ees_sell_score,entry_price,exit_price,geo,grade,kill_zone_active,killswitch_daily_pnl_at_decision,killswitch_pnl_recalibrated,miners_available,momentum_alignment,momentum_consensus,mtfa,of,r_multiple,real_pnl_mt5,reason,risk_usd,row_kind,score,session,sl,smc,strategy,symbol,ticket,tp,trailing_active,ts_broker,ts_utc
,,,SELL,,,,PRUDENCE,40.0,,,50.93,B,,-44.85,False,,,,50.0,98.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,72.13,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:50:58.121109+00:00,2026-07-08 09:50:58.121109+00:00
,,,SELL,,,,PRUDENCE,40.0,,,51.1,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,71.03,LONDON,,85.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:51:27.922192+00:00,2026-07-08 09:51:27.922192+00:00
,,,SELL,,,,PRUDENCE,40.0,,,50.87,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,70.97,LONDON,,85.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:51:53.679049+00:00,2026-07-08 09:51:53.679049+00:00
,,,SELL,,,,PRUDENCE,40.0,,,49.2,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,70.55,LONDON,,85.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:52:21.263008+00:00,2026-07-08 09:52:21.263008+00:00
,,,SELL,,,,PRUDENCE,40.0,,,49.92,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,70.73,LONDON,,85.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:52:47.048052+00:00,2026-07-08 09:52:47.048052+00:00
,,,SELL,,,,PRUDENCE,40.0,,,49.89,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.47,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:53:14.315855+00:00,2026-07-08 09:53:14.315855+00:00
,,,SELL,,,,PRUDENCE,40.0,,,49.47,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.37,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:53:41.754261+00:00,2026-07-08 09:53:41.754261+00:00
,,,SELL,,,,PRUDENCE,40.0,,,49.59,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.4,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:54:07.090616+00:00,2026-07-08 09:54:07.090616+00:00
,,,SELL,,,,PRUDENCE,40.0,,,50.61,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.65,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:54:34.950693+00:00,2026-07-08 09:54:34.950693+00:00
,,,SELL,,,,PRUDENCE,40.0,,,49.67,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.42,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:55:03.277758+00:00,2026-07-08 09:55:03.277758+00:00
,,,SELL,,,,,,,,44.32,B,,-44.85,False,,,,50.0,98.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,70.48,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:55:29.292166+00:00,2026-07-08 09:55:29.292166+00:00
,,,SELL,,,,,,,,44.64,B,,-44.85,False,,,,50.0,98.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,70.56,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:55:56.678265+00:00,2026-07-08 09:55:56.678265+00:00
,,,SELL,,,,,,,,45.05,B,,-44.85,False,,,,50.0,98.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,70.66,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:56:22.048164+00:00,2026-07-08 09:56:22.048164+00:00
,,,SELL,,,,,,,,45.43,B,,-44.85,False,,,,50.0,98.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,70.76,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:56:49.842498+00:00,2026-07-08 09:56:49.842498+00:00
,,,SELL,,,,,,,,45.45,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.61,LONDON,,85.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:57:17.553091+00:00,2026-07-08 09:57:17.553091+00:00
,,,SELL,,,,,,,,44.32,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.33,LONDON,,85.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:57:43.977327+00:00,2026-07-08 09:57:43.977327+00:00
,,,SELL,,,,,,,,45.04,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,68.26,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:58:19.052352+00:00,2026-07-08 09:58:19.052352+00:00
