big_setup_direction_bias,big_setup_grade,big_setup_is_discount,big_setup_is_premium,big_setup_missing_data,big_setup_reason,big_setup_risk_ok,big_setup_safety_ok,big_setup_score,big_setup_status,big_setup_tags,big_setup_time_ok,closed_at,day_of_week,direction,entry,entry_signal_time,exit_price,exit_reason,local_hour,opened_at,pnl_money,pnl_r,result,risk_reward,safety_guard_action,safety_guard_is_weekend,safety_guard_local_hour,safety_guard_reason,safety_guard_rules_triggered,safety_guard_status,safety_guard_timezone,session,signal_before_guard,sl,spread,strategy,symbol,tp
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T15:35:00+00:00,FRIDAY,BUY,4812.37,2026-04-17T15:20:00+00:00,4822.61714286,TP_HIT,16,2026-04-17T15:25:00+00:00,85.698925,1.713978,WIN,1.713978,ALLOW_PAPER_OPEN,False,16,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,NEW_YORK,BUY,4806.39142857,20.0,BREAKOUT_RETEST,GOLD#,4822.61714286
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T15:45:00+00:00,FRIDAY,BUY,4822.67,2026-04-17T15:35:00+00:00,4834.38428571,TP_HIT,16,2026-04-17T15:40:00+00:00,91.344547,1.826891,WIN,1.826891,ALLOW_PAPER_OPEN,False,16,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,NEW_YORK,BUY,4816.25785714,20.0,BREAKOUT_RETEST,GOLD#,4834.38428571
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T16:00:00+00:00,FRIDAY,BUY,4843.29,2026-04-17T15:50:00+00:00,4835.155,SL_HIT,17,2026-04-17T15:55:00+00:00,-50.0,-1.0,LOSS,1.81807,ALLOW_PAPER_OPEN,False,16,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,4835.155,20.0,BREAKOUT_RETEST,GOLD#,4858.08
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T16:00:00+00:00,FRIDAY,BUY,4846.26,2026-04-17T15:55:00+00:00,4838.12785714,SL_HIT,17,2026-04-17T16:00:00+00:00,-50.0,-1.0,LOSS,1.749144,ALLOW_PAPER_OPEN,False,16,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,4838.12785714,20.0,BREAKOUT_RETEST,GOLD#,4860.48428571
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T18:50:00+00:00,FRIDAY,SELL,4858.8,2026-04-17T18:40:00+00:00,4869.96785714,SL_HIT,19,2026-04-17T18:45:00+00:00,-50.0,-1.0,LOSS,1.648993,ALLOW_PAPER_OPEN,False,19,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,SELL,4869.96785714,20.0,BREAKOUT_RETEST,GOLD#,4840.38428571
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T20:30:00+00:00,FRIDAY,SELL,4853.95,2026-04-17T20:20:00+00:00,4859.60397,SL_HIT,21,2026-04-17T20:25:00+00:00,-50.0,-1.0,LOSS,1.713476,ALLOW_PAPER_OPEN,True,21,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,SELL,4859.60397,20.0,BREAKOUT_RETEST,GOLD#,4844.26206
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T23:15:00+00:00,SATURDAY,SELL,4845.74,2026-04-17T23:10:00+00:00,4850.74587,SL_HIT,0,2026-04-17T23:15:00+00:00,-50.0,-1.0,LOSS,1.910106,ALLOW_PAPER_OPEN,True,0,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,ASIA,SELL,4850.74587,20.0,BREAKOUT_RETEST,GOLD#,4836.17826
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-20T01:00:00+00:00,MONDAY,SELL,4833.14,2026-04-17T23:45:00+00:00,4823.39388,TP_HIT,2,2026-04-17T23:50:00+00:00,90.190744,1.803815,WIN,1.803815,ALLOW_PAPER_OPEN,True,0,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,ASIA,SELL,4838.54306,65.0,BREAKOUT_RETEST,GOLD#,4823.39388
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-04-20T02:50:00+00:00,MONDAY,SELL,4743.86,2026-04-20T02:45:00+00:00,4752.52571429,SL_HIT,3,2026-04-20T02:50:00+00:00,-50.0,-1.0,LOSS,1.711507,ALLOW_PAPER_OPEN,False,3,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,ASIA,SELL,4752.52571429,24.0,BREAKOUT_RETEST,GOLD#,4729.02857143
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-04-20T08:40:00+00:00,MONDAY,SELL,4791.58,2026-04-20T06:10:00+00:00,4781.98686,TP_HIT,9,2026-04-20T06:15:00+00:00,75.996464,1.519929,WIN,1.519929,ALLOW_PAPER_OPEN,False,7,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,LONDON,SELL,4797.89157,25.0,BREAKOUT_RETEST,GOLD#,4781.98686
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-04-20T07:45:00+00:00,MONDAY,SELL,4787.4,2026-04-20T07:40:00+00:00,4793.01739,SL_HIT,8,2026-04-20T07:45:00+00:00,-50.0,-1.0,LOSS,1.706269,ALLOW_PAPER_OPEN,False,8,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,LONDON,SELL,4793.01739,27.0,BREAKOUT_RETEST,GOLD#,4777.81522
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-04-20T08:30:00+00:00,MONDAY,SELL,4786.96,2026-04-20T08:05:00+00:00,4792.02698,SL_HIT,9,2026-04-20T08:10:00+00:00,-50.0,-1.0,LOSS,1.885533,ALLOW_PAPER_OPEN,False,9,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,LONDON,SELL,4792.02698,24.0,BREAKOUT_RETEST,GOLD#,4777.40604
